Tier,City,Household Load kWh/year,PV Size kW,Battery Size kWh,PV Yield kWh/kW/year,Annual PV Generation kWh,PV Used by Household kWh,Grid Import kWh,Grid Export kWh,Self Consumption Ratio %,Self Sufficiency Ratio %,Peak Grid Reduction Proxy kWh/year,System Cost EUR,Annual Net Benefit EUR,Payback Years,NPV EUR,LCOE Proxy EUR/kWh,CO2 Savings kg/year,Lifetime CO2 Savings tonnes,CO2 Savings tonnes per EUR,Battery Final Health,Battery Replacement Year
Tier 1,Berlin,3500,7,5,980,6860,3500.0,0.0,3360.0,51.02,100.0,632.5,12350,1475.3,8.37,4052.96,0.12,1330.0,19.95,0.001615,0.625,12.0
Tier 3,Passau,5000,10,12,1080,10800,5000.0,0.0,5800.0,46.3,100.0,1254.0,20800,2156.0,9.65,3171.24,0.128,1900.0,28.5,0.00137,0.625,12.0
Tier 3,Passau,5000,10,10,1080,10800,5000.0,0.0,5800.0,46.3,100.0,1045.0,19500,2169.0,8.99,4615.78,0.12,1900.0,28.5,0.001462,0.625,12.0
Tier 2,Leipzig,4200,10,3,1000,10000,4200.0,0.0,5800.0,42.0,100.0,330.0,14950,1910.5,7.83,6291.68,0.1,1596.0,23.94,0.001601,0.625,12.0
Tier 2,Leipzig,4200,10,5,1000,10000,4200.0,0.0,5800.0,42.0,100.0,550.0,16250,1897.5,8.56,4847.14,0.108,1596.0,23.94,0.001473,0.625,12.0
Tier 2,Leipzig,4200,10,8,1000,10000,4200.0,0.0,5800.0,42.0,100.0,880.0,18200,1878.0,9.69,2680.33,0.121,1596.0,23.94,0.001315,0.625,12.0
Tier 2,Leipzig,4200,10,10,1000,10000,4200.0,0.0,5800.0,42.0,100.0,1100.0,19500,1865.0,10.46,1235.79,0.13,1596.0,23.94,0.001228,0.625,12.0
Tier 2,Leipzig,4200,10,12,1000,10000,4200.0,0.0,5800.0,42.0,100.0,1320.0,20800,1852.0,11.23,-208.75,0.139,1596.0,23.94,0.001151,0.625,12.0
Tier 2,Leipzig,3500,10,5,1000,10000,3500.0,0.0,6500.0,35.0,100.0,550.0,16250,1687.5,9.63,2512.28,0.108,1330.0,19.95,0.001228,0.625,12.0
Tier 2,Leipzig,3500,10,8,1000,10000,3500.0,0.0,6500.0,35.0,100.0,880.0,18200,1668.0,10.91,345.47,0.121,1330.0,19.95,0.001096,0.625,12.0
